variant,finding_type,feature,family,d,F,n_malignant,n_benign,abs_d,rank
clahe,mass,original_glcm_DifferenceAverage,glcm,-0.27417903388981185,24.742274315773088,637,681,0.27417903388981185,24
clahe,mass,original_glcm_DifferenceEntropy,glcm,-0.24145325497093764,19.188333708619187,637,681,0.24145325497093764,32
clahe,mass,original_glcm_DifferenceVariance,glcm,-0.2553958844769002,21.468362667544298,637,681,0.2553958844769002,30
clahe,mass,original_glcm_Id,glcm,0.2515357262971762,20.824303733751464,637,681,0.2515357262971762,31
clahe,mass,original_glcm_Idm,glcm,0.2570710962184094,21.750920096660042,637,681,0.2570710962184094,29
clahe,mass,original_glcm_Idmn,glcm,0.27911129751947394,25.640469033591852,637,681,0.27911129751947394,19
clahe,mass,original_glcm_Idn,glcm,0.27254930847978254,24.449011392588243,637,681,0.27254930847978254,25
clahe,mass,original_glcm_Imc1,glcm,-0.2620739437628088,22.60574489308057,637,681,0.2620739437628088,26
clahe,mass,original_glcm_Imc2,glcm,0.2855058898294596,26.828801846576912,637,681,0.2855058898294596,18
clahe,mass,original_glcm_InverseVariance,glcm,0.016146909354820573,0.08581238024200613,637,681,0.016146909354820573,65
clahe,mass,original_glcm_JointAverage,glcm,0.25888143422837934,22.05834606575518,637,681,0.25888143422837934,27
clahe,mass,original_glcm_JointEnergy,glcm,0.1525331750636759,7.6577248010812715,637,681,0.1525331750636759,44
clahe,mass,original_glcm_JointEntropy,glcm,-0.1973264117784865,12.81567753653746,637,681,0.1973264117784865,39
clahe,mass,original_glcm_MCC,glcm,0.2985066899479558,29.327785511410273,637,681,0.2985066899479558,17
clahe,mass,original_glcm_MaximumProbability,glcm,0.15444015030183353,7.85039601189275,637,681,0.15444015030183353,43
clahe,mass,original_glcm_SumAverage,glcm,0.25888143422837795,22.05834606575495,637,681,0.25888143422837795,28
clahe,mass,original_glcm_SumEntropy,glcm,0.05387425540481442,0.9552866215693379,637,681,0.05387425540481442,61
clahe,mass,original_glcm_SumSquares,glcm,0.11541241113112571,4.384056699622798,637,681,0.11541241113112571,58
clahe,mass,original_glrlm_GrayLevelNonUniformity,glrlm,0.34751104517789383,39.74736648927971,637,681,0.34751104517789383,15
clahe,mass,original_glrlm_GrayLevelNonUniformityNormalized,glrlm,-0.11119607542462288,4.069584334787813,637,681,0.11119607542462288,59
clahe,mass,original_glrlm_GrayLevelVariance,glrlm,0.16663073373015377,9.138635326318727,637,681,0.16663073373015377,40
clahe,mass,original_glrlm_HighGrayLevelRunEmphasis,glrlm,0.20859463641025394,14.32113400269033,637,681,0.20859463641025394,36
clahe,mass,original_glrlm_LongRunEmphasis,glrlm,0.13304158984728878,5.825671423298319,637,681,0.13304158984728878,53
clahe,mass,original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,0.19962718933184267,13.116275138636071,637,681,0.19962718933184267,38
clahe,mass,original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,0.029198443121269322,0.28060184640593366,637,681,0.029198443121269322,64
clahe,mass,original_glrlm_LowGrayLevelRunEmphasis,glrlm,-0.15236674234401767,7.641022852177727,637,681,0.15236674234401767,45
clahe,mass,original_glrlm_RunEntropy,glrlm,0.23505182287179935,18.184375094824745,637,681,0.23505182287179935,34
clahe,mass,original_glrlm_RunLengthNonUniformity,glrlm,0.33437431152926317,36.799078571204454,637,681,0.33437431152926317,16
clahe,mass,original_glrlm_RunLengthNonUniformityNormalized,glrlm,-0.23937296272689934,18.859115669375456,637,681,0.23937296272689934,33
clahe,mass,original_glrlm_RunPercentage,glrlm,-0.23318889738683057,17.897273373010883,637,681,0.23318889738683057,35
clahe,mass,original_glrlm_RunVariance,glrlm,0.14444386875538925,6.867036533828983,637,681,0.14444386875538925,51
clahe,mass,original_glrlm_ShortRunEmphasis,glrlm,-0.19981545413118634,13.141026249013668,637,681,0.19981545413118634,37
clahe,mass,original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,-0.015286311996198124,0.0769088951959679,637,681,0.015286311996198124,66
clahe,mass,original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,-0.14785654846854387,7.195355597118068,637,681,0.14785654846854387,46
